,team,opponent,total_points
1,France,England,189.0
2,Ireland,England,172.0
3,Italy,England,90.0
4,Scotland,England,159.0
5,Wales,England,163.0
6,England,France,173.0
8,Ireland,France,165.0
9,Italy,France,136.0
10,Scotland,France,180.0
11,Wales,France,165.0
12,England,Ireland,150.0
13,France,Ireland,145.0
15,Italy,Ireland,113.0
16,Scotland,Ireland,121.0
17,Wales,Ireland,142.0
18,England,Italy,318.0
19,France,Italy,273.0
20,Ireland,Italy,392.0
22,Scotland,Italy,255.0
23,Wales,Italy,304.0
24,England,Scotland,186.0
25,France,Scotland,201.0
26,Ireland,Scotland,201.0
27,Italy,Scotland,113.0
29,Wales,Scotland,154.0
30,England,Wales,171.0
31,France,Wales,175.0
32,Ireland,Wales,172.0
33,Italy,Wales,96.0
34,Scotland,Wales,160.0
